id,rank,name
rank_0,0,Champion
rank_1,1,Winner
rank_2,2,2nd
rank_3,3,3rd
rank_4,4,4th
rank_5,5,5th
rank_6,6,6th
rank_7,7,7th
rank_8,8,8th
rank_9,9,9th
rank_10,10,10th
rank_11,11,11th
rank_12,12,12th
rank_13,13,13th
rank_14,14,14th
rank_15,15,15th
rank_16,16,16th
rank_17,17,17th
rank_18,18,18th
rank_19,19,19th
rank_20,20,20th
rank_21,21,21st
rank_22,22,22nd
rank_23,23,23rd
rank_24,24,24th
rank_25,25,25th
rank_26,26,26th
rank_27,27,27th
rank_28,28,28th
rank_29,29,29th
rank_30,30,30th
rank_31,31,31st
rank_32,32,32nd
rank_33,33,33rd
rank_34,34,34th
rank_35,35,35th
rank_36,36,36th
rank_37,37,37th
rank_38,38,38th
rank_39,39,39th
rank_40,40,40th
rank_41,41,41st
rank_42,42,42nd
rank_43,43,43rd
rank_44,44,44th
rank_45,45,45th
rank_46,46,46th
rank_47,47,47th
rank_48,48,48th
rank_49,49,49th
rank_50,50,50th
rank_51,51,51st
rank_52,52,52nd
rank_53,53,53rd
rank_54,54,54th
rank_55,55,55th
rank_56,56,56th
rank_57,57,57th
rank_58,58,58th
rank_59,59,59th
rank_60,60,60th
rank_61,61,61st
rank_62,62,62nd
rank_63,63,63rd
rank_64,64,64th
rank_65,65,65th
rank_66,66,66th
rank_67,67,67th
rank_68,68,68th
rank_69,69,69th
rank_70,70,70th
rank_71,71,71st
rank_72,72,72nd
rank_73,73,73rd
rank_74,74,74th
rank_75,75,75th
rank_76,76,76th
rank_77,77,77th
rank_78,78,78th
rank_79,79,79th
rank_80,80,80th
rank_81,81,81st
rank_82,82,82nd
rank_83,83,83rd
rank_84,84,84th
rank_85,85,85th
rank_86,86,86th
rank_87,87,87th
rank_88,88,88th
rank_89,89,89th
rank_90,90,90th
rank_91,91,91st
rank_92,92,92nd
rank_93,93,93rd
rank_94,94,94th
rank_95,95,95th
rank_96,96,96th
rank_97,97,97th
rank_98,98,98th
rank_99,99,99th
rank_100,100,100th
